seller_id,n_orders,n_ontime_reviewed,n_late_reviewed,overall_low_rate,avg_review,ontime_low_rate,late_low_rate,late_delivery_rate,avg_delay_vs_estimate,avg_delivery_days,cross_state_share,dominant_category,dominant_category_share,n_distinct_categories,dominant_customer_state,failure_type,low_rating_orders
5dceca129747e92ff8ef7a997dc4f8ca,317,297,20,0.19242902208201892,4.009463722397476,0.16161616161616163,0.65,0.06309148264984227,-10.651128380944035,11.556427079682207,0.5646687697160884,luggage_accessories,0.5709779179810726,6,SP,Type 2 - Intrinsic,61.0
7202e2ba20579a9bd1acb29e61fe71f6,50,47,3,0.16,3.98,0.14893617021276595,0.3333333333333333,0.06,-11.129444675925924,13.383422222222222,0.68,telephony,0.86,2,SP,Type 2 - Intrinsic,8.0
2138ccb85b11a4ec1e37afbd1c8eda1f,379,358,21,0.16094986807387862,3.9815303430079156,0.12290502793296089,0.8095238095238095,0.055408970976253295,-11.927173513388059,11.400342305531122,0.6411609498680739,telephony,0.8575197889182058,6,SP,Type 4 - Unclear,61.0
6039e27294dc75811c0d8a39069f52c0,62,48,14,0.1935483870967742,3.7419354838709675,0.125,0.42857142857142855,0.22580645161290322,-6.3355154196535235,18.17080570489845,0.7258064516129032,electronics,0.5645161290322581,3,SP,Type 1 - Delivery-Driven,12.0
f3da5b2ff499efb8d4a6d371d175d7dd,75,64,11,0.18666666666666668,3.9066666666666667,0.078125,0.8181818181818182,0.14666666666666667,-7.248210030864198,11.533164660493828,0.41333333333333333,housewares,0.22666666666666666,11,SP,Type 1 - Delivery-Driven,14.0
adbc26658d6c7b4b6219f9d934598091,87,73,14,0.16091954022988506,4.114942528735632,0.0684931506849315,0.6428571428571429,0.16091954022988506,-7.452103288633463,17.280556885908897,0.8735632183908046,baby,0.6436781609195402,2,SP,Type 1 - Delivery-Driven,14.0
4992e76a42cb3aad7a7047e0d3d7e729,54,50,4,0.16666666666666666,3.925925925925926,0.14,0.5,0.07407407407407407,-9.85229423868313,7.935338220164607,0.4074074074074074,housewares,0.9074074074074074,2,SP,Type 2 - Intrinsic,9.0
688756f717c462a206ad854c5027a64a,76,69,7,0.17105263157894737,3.9078947368421053,0.13043478260869565,0.5714285714285714,0.09210526315789473,-7.510469206871344,10.872681530214422,0.5921052631578947,housewares,0.8947368421052632,5,SP,Type 1 - Delivery-Driven,13.0
99eaacc9e6046db1c82b163c5f84869f,63,56,7,0.1746031746031746,4.0,0.10714285714285714,0.7142857142857143,0.1111111111111111,-8.155254078483246,14.980573192239858,0.5396825396825397,telephony,0.6825396825396826,3,SP,Type 1 - Delivery-Driven,11.0
06a2c3af7b3aee5d69171b0e14f0ee87,384,297,87,0.15885416666666666,4.018229166666667,0.06734006734006734,0.47126436781609193,0.2265625,-10.694128357687115,17.71264964916088,0.9635416666666666,health_beauty,1.0,1,SP,Type 1 - Delivery-Driven,61.0
f84a00e60c73a49e7e851c9bdca3a5bb,87,77,10,0.19540229885057472,3.8850574712643677,0.12987012987012986,0.7,0.11494252873563218,-9.530207402085992,11.850995370370368,0.735632183908046,health_beauty,0.896551724137931,2,SP,Type 1 - Delivery-Driven,17.0
3be634553519fb6536a03e1358e9fdc7,78,71,7,0.15384615384615385,4.038461538461538,0.11267605633802817,0.5714285714285714,0.08974358974358974,-9.8593873160019,10.19729359567901,0.5256410256410257,housewares,0.6666666666666666,6,SP,Type 1 - Delivery-Driven,12.0
48162d548f5b1b11b9d29d1e01f75a61,65,63,2,0.15384615384615385,4.030769230769231,0.12698412698412698,1.0,0.03076923076923077,-12.609284188034188,11.418764779202277,0.676923076923077,garden_tools,0.5076923076923077,7,SP,Type 4 - Unclear,10.0
5f2684dab12e59f83bef73ae57724e45,67,63,4,0.23880597014925373,3.791044776119403,0.19047619047619047,1.0,0.05970149253731343,-10.340204187396353,10.647301340519626,0.5223880597014925,toys,0.9253731343283582,5,SP,Type 2 - Intrinsic,16.0
5343d0649eca2a983820bfe93fc4d17e,67,60,7,0.208955223880597,3.955223880597015,0.2,0.2857142857142857,0.1044776119402985,-12.108295156163628,11.01098517827529,0.7164179104477612,furniture_decor,1.0,1,SP,Type 3 - Mixed,14.0
710e3548e02bc1d2831dfc4f1b5b14d4,128,123,5,0.3046875,3.4375,0.3008130081300813,0.4,0.0390625,-21.35585476345486,14.337784830729166,0.875,furniture_decor,0.53125,9,SP,Type 2 - Intrinsic,39.0
8e6d7754bc7e0f22c96d255ebda59eba,79,65,14,0.24050632911392406,3.6835443037974684,0.16923076923076924,0.5714285714285714,0.17721518987341772,-4.345073107126113,15.586442364041254,0.46835443037974683,computers_accessories,1.0,1,SP,Type 3 - Mixed,19.0
c31eff8334d6b3047ed34bebd4d62c36,116,99,17,0.1724137931034483,3.8879310344827585,0.13131313131313133,0.4117647058823529,0.14655172413793102,-9.413235352809707,12.909376995530012,0.49137931034482757,art,0.8620689655172413,2,SP,Type 1 - Delivery-Driven,20.0
4a3ccda38b2129705f3fb522db62ca31,62,56,6,0.1935483870967742,3.967741935483871,0.16071428571428573,0.5,0.0967741935483871,-10.514903860513737,13.468165509259261,0.5483870967741935,construction_tools_safety,0.7419354838709677,5,SP,Type 3 - Mixed,12.0
1c68394e931a64f90ea236c5ea590300,137,132,5,0.15328467153284672,3.9562043795620436,0.12878787878787878,0.8,0.0364963503649635,-14.275755356177346,16.28173602662882,0.9416058394160584,computers_accessories,0.8832116788321168,2,SP,Type 4 - Unclear,21.0
dc317f341ab0e22f39acbd9dbf9b4a1f,55,52,3,0.16363636363636364,4.1454545454545455,0.11538461538461539,1.0,0.05454545454545454,-14.249487373737376,12.409295244107739,0.9272727272727272,cool_stuff,0.9454545454545454,3,SP,Type 4 - Unclear,9.0
1ca7077d890b907f89be8c954a02686a,107,84,23,0.5981308411214953,2.392523364485981,0.5595238095238095,0.7391304347826086,0.21495327102803738,-6.026003807545863,15.537298481308413,0.4766355140186916,telephony,0.21495327102803738,2,SP,Type 3 - Mixed,64.0
440dd6ab244315c632130ecfb63827b1,91,79,12,0.15384615384615385,3.89010989010989,0.06329113924050633,0.75,0.13186813186813187,-10.58475592694343,16.616442434879932,0.6703296703296703,sports_leisure,0.967032967032967,2,SP,Type 1 - Delivery-Driven,14.0
712e6ed8aa4aa1fa65dab41fed5737e4,76,60,16,0.35526315789473684,3.3947368421052633,0.2833333333333333,0.625,0.21052631578947367,-8.987928393031188,24.163922849658867,0.9473684210526315,auto,1.0,1,SP,Type 3 - Mixed,27.0
7ad32824caee82087b3e2e5f33b1bf32,141,123,18,0.19858156028368795,3.858156028368794,0.13008130081300814,0.6666666666666666,0.1276595744680851,-9.534120042027842,11.831116446677173,0.46808510638297873,bed_bath_table,1.0,1,SP,Type 1 - Delivery-Driven,28.0
8444e55c1f13cd5c179851e5ca5ebd00,91,85,6,0.32967032967032966,3.3516483516483517,0.29411764705882354,0.8333333333333334,0.06593406593406594,-21.859639677452176,21.263063059625555,0.7692307692307693,perfumery,0.27472527472527475,12,SP,Type 2 - Intrinsic,30.0
